Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
1,90,15.76,20.182,-27.01
1,90,15.92,20.628,-26.55
1,90,16.08,20.558,-26.9
1,90,16.24,20.586,-27.54
1,90,16.4,20.33,-29.48
1,90,16.56,20.642,-28.29
1,90,16.72,20.232,-29.25
1,90,16.88,20.046,-30.42
1,90,17.04,20.074,-31.18
1,90,17.2,19.47,-32.96
1,90,17.36,18.924,-33.72
1,90,17.52,18.724,-33.81
1,90,17.68,18.178,-34.9
1,90,17.84,18.062,-34.85
1,90,18,17.68,-35.13
2,90,2,8.6,-13.19
2,90,2.16,8.992,-14.42
2,90,2.32,8.934,-16.72
2,90,2.48,9.506,-17.74
2,90,2.64,8.842,-19.87
2,90,2.8,9.76,-17.3
2,90,2.96,9.782,-18.53
2,90,3.12,10.594,-17.64
2,90,3.28,10.008,-20.01
2,90,3.44,10.728,-17.92
2,90,3.6,10.73,-16.72
2,90,3.76,9.906,-19.58
2,90,3.92,11.488,-16.06
2,90,4.08,11.458,-16.21
2,90,4.24,11.494,-17.53
2,90,4.4,11.99,-17.82
2,90,4.56,12.234,-17.58
2,90,4.72,12.496,-17.49
2,90,4.88,12.77,-17.36
2,90,5.04,13.39,-16.66
2,90,5.2,13.1,-18.32
2,90,5.36,13.29,-17.51
2,90,5.52,13.492,-16.79
2,90,5.68,13.22,-18.15
2,90,5.84,13.538,-17.91
2,90,6,13.65,-17.89
2,90,6.16,14.05,-17.99
2,90,6.32,13.692,-19.8
2,90,6.48,14.074,-20.01
2,90,6.64,13.942,-20.45
2,90,6.8,14.4,-19.1
2,90,6.96,14.438,-19.89
2,90,7.12,14.624,-19.97
2,90,7.28,14.798,-19.58
2,90,7.44,14.664,-19.67
2,90,7.6,14.87,-18.53
2,90,7.76,14.382,-20.84
2,90,7.92,15.038,-19.59
2,90,8.08,15.044,-19.76
2,90,8.24,15.148,-19.96
2,90,8.4,15.26,-20.12
2,90,8.56,15.368,-20.91
2,90,8.72,15.202,-22.1
2,90,8.88,15.602,-21.54
2,90,9.04,15.646,-22.14
2,90,9.2,15.74,-23.12
2,90,9.36,15.896,-22.17
2,90,9.52,15.678,-22.7
2,90,9.68,15.63,-23.26
2,90,9.84,15.514,-23.6
2,90,10,15.64,-23.43
2,90,10.16,15.502,-24.14
2,90,10.32,15.798,-23.83
2,90,10.48,15.922,-23.61
2,90,10.64,15.842,-24.17
2,90,10.8,16.03,-24.24
2,90,10.96,16.114,-23.87
2,90,11.12,16.044,-24.2
2,90,11.28,15.904,-24.54
2,90,11.44,15.938,-24.81
2,90,11.6,15.94,-24.93
2,90,11.76,15.886,-25.23
2,90,11.92,16.116,-25.01
2,90,12.08,15.9,-26.29
2,90,12.24,16.186,-26.07
2,90,12.4,16.26,-26.4
2,90,12.56,16.15,-27.92
2,90,12.72,16.566,-27.99
2,90,12.88,16.574,-28.63
2,90,13.04,16.452,-30.05
2,90,13.2,17.06,-29.72
2,90,13.36,17.236,-28.98
2,90,13.52,17.528,-28.48
2,90,13.68,17.65,-29.03
2,90,13.84,17.842,-29.64
2,90,14,18.01,-29.84
2,90,14.16,18.254,-29.97
2,90,14.32,18.704,-30.25
2,90,14.48,17.776,-34.05
2,90,14.64,19.106,-30.35
2,90,14.8,19,-29.01
2,90,14.96,19.098,-28.03
2,90,15.12,19.44,-26.99
2,90,15.28,19.57,-26.98
2,90,15.44,19.904,-26.41
2,90,15.6,19.89,-26.74
2,90,15.76,19.912,-27.28
2,90,15.92,20.338,-26.84
2,90,16.08,20.288,-27.17
2,90,16.24,20.246,-27.88
2,90,16.4,20.01,-29.8
2,90,16.56,20.172,-28.76
2,90,16.72,19.822,-29.66
2,90,16.88,19.536,-30.93
2,90,17.04,19.534,-31.72
2,90,17.2,19,-33.43
2,90,17.36,18.364,-34.28
2,90,17.52,18.234,-34.3
2,90,17.68,17.468,-35.61
2,90,17.84,17.322,-35.59
2,90,18,16.81,-36
3,90,2,8.54,-13.25
3,90,2.16,9.042,-14.37
3,90,2.32,8.914,-16.74
3,90,2.48,9.516,-17.73
3,90,2.64,8.852,-19.86
3,90,2.8,9.69,-17.37
3,90,2.96,9.852,-18.46
3,90,3.12,10.574,-17.66
3,90,3.28,9.998,-20.02
3,90,3.44,10.718,-17.93
3,90,3.6,10.57,-16.88
3,90,3.76,9.896,-19.59
3,90,3.92,11.458,-16.09
3,90,4.08,11.408,-16.26
3,90,4.24,11.464,-17.56
3,90,4.4,11.93,-17.88
3,90,4.56,12.174,-17.64
3,90,4.72,12.456,-17.53
3,90,4.88,12.7,-17.43
3,90,5.04,13.36,-16.69
3,90,5.2,12.97,-18.45
3,90,5.36,13.31,-17.49
3,90,5.52,13.412,-16.87
3,90,5.68,13.22,-18.15
3,90,5.84,13.488,-17.96
3,90,6,13.6,-17.94
3,90,6.16,13.97,-18.07
3,90,6.32,13.642,-19.85
3,90,6.48,13.994,-20.09
3,90,6.64,13.842,-20.55
3,90,6.8,14.34,-19.16
3,90,6.96,14.348,-19.98
3,90,7.12,14.524,-20.07
3,90,7.28,14.708,-19.67
3,90,7.44,14.494,-19.84
3,90,7.6,14.68,-18.72
3,90,7.76,14.312,-20.91
3,90,7.92,14.888,-19.74
3,90,8.08,14.924,-19.88
3,90,8.24,15.028,-20.08
3,90,8.4,15.14,-20.24
3,90,8.56,15.178,-21.1
3,90,8.72,14.982,-22.32
3,90,8.88,15.452,-21.69
3,90,9.04,15.476,-22.31
3,90,9.2,15.57,-23.29
3,90,9.36,15.696,-22.37
3,90,9.52,15.418,-22.96
3,90,9.68,15.45,-23.44
