Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,1,10.48,-17.078,-56.61
0,1,10.64,-18.228,-58.24
0,1,10.8,-18.84,-59.11
0,1,10.96,-13.446,-53.43
0,1,11.12,-15.776,-56.02
0,1,11.28,-16.696,-57.14
0,1,11.44,-18.942,-59.69
0,1,11.6,-13.85,-54.72
0,1,11.76,-11.904,-53.02
0,1,11.92,-13.634,-54.76
0,1,12.08,-12.74,-54.93
0,1,12.24,-12.394,-54.65
0,1,12.4,-10.65,-53.31
0,1,12.56,-12.09,-56.16
0,1,12.72,-16.214,-60.77
0,1,12.88,-15.366,-60.57
0,1,13.04,-21.288,-67.79
0,1,13.2,-18.11,-64.89
0,1,13.36,-17.994,-64.21
0,1,13.52,-23.442,-69.45
0,1,13.68,-18.17,-64.85
0,1,13.84,-11.818,-59.3
0,1,14,-12.76,-60.61
0,1,14.16,-11.896,-60.12
0,1,14.32,-12.596,-61.55
0,1,14.48,-16.804,-68.63
0,1,14.64,-12.394,-61.85
0,1,14.8,-17.2,-65.21
0,1,14.96,-17.662,-64.79
0,1,15.12,-18.25,-64.68
0,1,15.28,-18.75,-65.3
0,1,15.44,-16.796,-63.11
0,1,15.6,-20.75,-67.38
0,1,15.76,-16.008,-63.2
0,1,15.92,-17.512,-64.69
0,1,16.08,-15.012,-62.47
0,1,16.24,-12.074,-60.2
0,1,16.4,-13.38,-63.19
0,1,16.56,-12.808,-61.74
0,1,16.72,-12.468,-61.95
0,1,16.88,-14.934,-65.4
0,1,17.04,-15.726,-66.98
0,1,17.2,-19.62,-72.05
0,1,17.36,-24.076,-76.72
0,1,17.52,-19.556,-72.09
0,1,17.68,-20.792,-73.87
0,1,17.84,-18.548,-71.46
0,1,18,-14.79,-67.6
0,2,2,-4.73,-26.52
0,2,2.16,-6.838,-30.25
0,2,2.32,-8.886,-34.54
0,2,2.48,-12.454,-39.7
0,2,2.64,-13.688,-42.4
0,2,2.8,-25.58,-52.64
0,2,2.96,-8.928,-37.24
0,2,3.12,-8.616,-36.85
0,2,3.28,-6.642,-36.66
0,2,3.44,-4.692,-33.34
0,2,3.6,-6.36,-33.81
0,2,3.76,-11.634,-41.12
0,2,3.92,-11.732,-39.28
0,2,4.08,-12.572,-40.24
0,2,4.24,-16.466,-45.49
0,2,4.4,-11.43,-41.24
