Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,-177,14.48,-5.66399999999999,-57.49
0,-177,14.8,-4.25,-52.26
0,-177,15.12,-14.39,-60.82
0,-177,15.44,-16.886,-63.2
0,-177,15.76,-14.568,-61.76
0,-177,16.08,-8.262,-55.72
0,-177,16.4,-14.35,-64.16
0,-177,16.72,-15.228,-64.71
0,-177,17.04,-11.546,-62.8
0,-177,17.36,-26.016,-78.66
0,-177,17.68,-17.752,-70.83
0,-177,18,-15.15,-67.96
0,-176,2,-4.15,-25.94
0,-176,2.32,-10.426,-36.08
0,-176,2.64,-13.298,-42.01
0,-176,2.96,-2.318,-30.63
0,-176,3.28,-12.342,-42.36
0,-176,3.6,-6.74,-34.19
0,-176,3.92,-8.36199999999999,-35.91
0,-176,4.24,-2.816,-31.84
0,-176,4.56,-10.156,-39.97
0,-176,4.88,-6.7,-36.83
0,-176,5.2,-2.6,-34.02
0,-176,5.52,-12.728,-43.01
0,-176,5.84,-2.272,-33.72
0,-176,6.16,-12.1,-44.14
0,-176,6.48,-12.296,-46.38
0,-176,6.8,-17.03,-50.53
0,-176,7.12,-11.436,-46.03
0,-176,7.44,-7.116,-41.45
0,-176,7.76,-15.818,-51.04
0,-176,8.08,-17.516,-52.32
0,-176,8.4,-7.63,-43.01
0,-176,8.72,-2.648,-39.95
0,-176,9.04,-21.604,-59.39
0,-176,9.36,-8.404,-46.47
0,-176,9.68,-6.06,-44.95
0,-176,10,-21.19,-60.26
0,-176,10.32,-13.042,-52.67
0,-176,10.64,-9.908,-49.92
0,-176,10.96,-17.756,-57.74
0,-176,11.28,-8.406,-48.85
0,-176,11.6,-0.560000000000002,-41.43
0,-176,11.92,0.576000000000001,-40.55
0,-176,12.24,-6.864,-49.12
0,-176,12.56,-3.17999999999999,-47.25
0,-176,12.88,-23.076,-68.28
0,-176,13.2,-1.49,-48.27
0,-176,13.52,-0.231999999999999,-46.24
0,-176,13.84,-2.988,-50.47
0,-176,14.16,-4.246,-52.47
0,-176,14.48,-3.32399999999999,-55.15
0,-176,14.8,-6.1,-54.11
0,-176,15.12,-14.26,-60.69
0,-176,15.44,-29.326,-75.64
0,-176,15.76,-16.658,-63.85
0,-176,16.08,-17.132,-64.59
0,-176,16.4,-13.59,-63.4
0,-176,16.72,-8.698,-58.18
0,-176,17.04,-19.796,-71.05
0,-176,17.36,-17.766,-70.41
0,-176,17.68,-16.622,-69.7
0,-176,18,-20.18,-72.99
0,-175,2,-4.78,-26.57
0,-175,2.32,-9.386,-35.04
0,-175,2.64,-15.098,-43.81
0,-175,2.96,-2.368,-30.68
0,-175,3.28,-9.242,-39.26
0,-175,3.6,-7.51,-34.96
0,-175,3.92,-8.252,-35.8
0,-175,4.24,-3.226,-32.25
0,-175,4.56,-9.526,-39.34
0,-175,4.88,-6.05,-36.18
0,-175,5.2,-3.01,-34.43
0,-175,5.52,-13.708,-43.99
0,-175,5.84,-2.102,-33.55
0,-175,6.16,-12.94,-44.98
0,-175,6.48,-13.466,-47.55
0,-175,6.8,-14.82,-48.32
0,-175,7.12,-15.516,-50.11
0,-175,7.44,-6.276,-40.61
0,-175,7.76,-11.858,-47.08
0,-175,8.08,-25.746,-60.55
0,-175,8.4,-8.8,-44.18
0,-175,8.72,-3.828,-41.13
0,-175,9.04,-19.254,-57.04
0,-175,9.36,-9.48399999999999,-47.55
0,-175,9.68,-4.81,-43.7
0,-175,10,-19.69,-58.76
0,-175,10.32,-7.972,-47.6
0,-175,10.64,-10.758,-50.77
0,-175,10.96,-17.206,-57.19
0,-175,11.28,-7.096,-47.54
0,-175,11.6,-1.48,-42.35
0,-175,11.92,0.675999999999995,-40.45
0,-175,12.24,-7.844,-50.1
0,-175,12.56,-5.54999999999999,-49.62
0,-175,12.88,-23.716,-68.92
0,-175,13.2,-1.2,-47.98
0,-175,13.52,-1.022,-47.03
0,-175,13.84,-2.568,-50.05
0,-175,14.16,-6.446,-54.67
0,-175,14.48,-0.733999999999995,-52.56
0,-175,14.8,-7.56,-55.57
0,-175,15.12,-9.91,-56.34
